GEOID,NAME,total_18_34,child_householder_18_34,basement_dweller_pct,median_rentE,median_home_valueE,median_household_incomeE,youth_unemployed_2534E,labor_force_2534E,median_rent,youth_unemployment_rate,rent_to_income_ratio,state,puma_name,coastal_state,high_cost
3603003,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",26705,11031,41.30687137240217,1660,528900,74528,6.5,10413,1660,6.5,0.2672820953198798,NA,Rockland County (West)--Spring Valley,FALSE,FALSE
3603102,Westchester County (Northwest) PUMA; New York,28277,14040,49.651660360009906,1827,542900,120105,4,21935,1827,4,0.18254027725739977,NA,Westchester County (Northwest) PUMA; New York,FALSE,FALSE
3603103,Westchester County (Northeast) PUMA; New York,21464,13792,64.2564293701081,2103,677500,167513,4,20580,2103,4,0.15065099425119244,NA,Westchester County (Northeast) PUMA; New York,FALSE,TRUE
3603110,Westchester County (Southeast)--White Plains & Rye City PUMA; New York,28930,14221,49.156584860006916,2115,717500,122899,3.6,20892,2115,3.6,0.20651103751861286,NA,Westchester County (Southeast)--White Plains & Rye City PUMA; New York,FALSE,TRUE
3603111,Westchester County (Central) PUMA; New York,18743,9546,50.93101424531825,2241,734700,162002,4.2,16581,2241,4.2,0.16599795064258466,NA,Westchester County (Central) PUMA; New York,FALSE,TRUE
3603112,Westchester County (Southwest)--Yonkers City PUMA; New York,47778,23147,48.44698396751643,1659,456500,78208,4.3,26421,1659,4.3,0.25455196399345337,NA,Westchester County (Southwest)--Yonkers City PUMA; New York,FALSE,FALSE
3603113,Westchester County (South Central East)--Mount Vernon City PUMA; New York,22977,12303,53.54484919702311,1567,593100,95418,4.5,17159,1567,4.5,0.19706973527007482,NA,Westchester County (South Central East)--Mount Vernon City PUMA; New York,FALSE,FALSE
3603114,Westchester County (South Central West)--New Rochelle City PUMA; New York,23403,12000,51.27547750288425,1819,721300,115109,3.9,15943,1819,3.9,0.18962896037668645,NA,Westchester County (South Central West)--New Rochelle City PUMA; New York,FALSE,FALSE
3603201,Nassau County (Northwest)--North Hempstead Town (North) PUMA; New York,17863,11123,62.26837597268096,2291,1100400,161792,3,16295,2291,3,0.169921875,NA,Nassau County (Northwest)--North Hempstead Town (North) PUMA; New York,FALSE,TRUE
3603202,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA; New York,17442,9678,55.48675610595115,2318,839900,140661,3.8,17110,2318,3.8,0.19775204214387784,NA,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA; New York,FALSE,TRUE
3603203,Nassau County (East Central)--Oyster Bay Town (Central) PUMA; New York,19820,12869,64.92936427850657,2428,639000,148984,4.5,14259,2428,4.5,0.19556462438919617,NA,Nassau County (East Central)--Oyster Bay Town (Central) PUMA; New York,FALSE,TRUE
